epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,297.594,3.26067,4.79113,3.99153,0.28852,0.04499,0.01591,0.00405,3.04822,9.9522,3.54768,0.00332176,0.00332176,0.00332176
2,580.105,2.30276,2.98934,2.80603,0.40779,0.19032,0.10322,0.03311,2.70776,3.86645,3.20809,0.00661117,0.00661117,0.00661117
3,859.073,1.75389,1.91872,2.16772,0.45221,0.13575,0.12413,0.04712,2.55222,4.15714,3.04826,0.00985658,0.00985658,0.00985658
4,1137.84,1.52489,1.46876,1.89301,0.61633,0.24705,0.29824,0.1423,2.25544,2.72384,2.63918,0.009802,0.009802,0.009802
5,1418.81,1.33635,1.16971,1.68765,0.62653,0.32116,0.38113,0.17451,2.1266,2.26962,2.48456,0.009736,0.009736,0.009736
6,1700.04,1.2399,1.02331,1.58794,0.62451,0.40725,0.44383,0.19973,2.13771,2.15021,2.4492,0.00967,0.00967,0.00967
7,1979.08,1.17152,0.93227,1.51881,0.63336,0.41361,0.43622,0.2051,2.04419,2.1761,2.41191,0.009604,0.009604,0.009604
8,2261.31,1.11989,0.86285,1.47039,0.6078,0.45672,0.49223,0.2269,2.00295,1.89598,2.30601,0.009538,0.009538,0.009538
9,2546.75,1.07809,0.81604,1.43653,0.74564,0.45163,0.52992,0.24989,1.94715,1.83386,2.2751,0.009472,0.009472,0.009472
10,2834.42,1.04496,0.78497,1.40807,0.64615,0.48472,0.51709,0.24083,2.01771,1.7457,2.32297,0.009406,0.009406,0.009406
11,3118.85,1.00664,0.74532,1.37346,0.68395,0.51163,0.57646,0.27078,1.93096,1.63346,2.24273,0.00934,0.00934,0.00934
12,3401.65,0.98404,0.71643,1.34924,0.6586,0.52758,0.57957,0.28257,1.87644,1.60263,2.20197,0.009274,0.009274,0.009274
13,3677.59,0.96107,0.69405,1.33082,0.71036,0.50947,0.58352,0.27521,1.89364,1.62405,2.23298,0.009208,0.009208,0.009208
14,3949.54,0.93939,0.67506,1.3103,0.68609,0.54378,0.60146,0.29356,1.82748,1.49286,2.16936,0.009142,0.009142,0.009142
15,4226.72,0.92326,0.65839,1.29599,0.75003,0.53179,0.61296,0.29766,1.79899,1.5267,2.09347,0.009076,0.009076,0.009076
16,4506.99,0.90768,0.64264,1.28574,0.75361,0.55201,0.63215,0.30955,1.82509,1.45991,2.13967,0.00901,0.00901,0.00901
17,4791.06,0.89306,0.63253,1.27323,0.75481,0.57468,0.65465,0.32267,1.77468,1.38468,2.0831,0.008944,0.008944,0.008944
18,5073.02,0.87972,0.61943,1.26178,0.81769,0.56878,0.66823,0.33571,1.78252,1.40895,2.02571,0.008878,0.008878,0.008878
19,5354.65,0.86637,0.61015,1.25349,0.7884,0.57774,0.67017,0.34078,1.76013,1.36542,2.03525,0.008812,0.008812,0.008812
20,5638.73,0.84984,0.59423,1.24021,0.73594,0.61413,0.67564,0.34068,1.77849,1.30816,2.03921,0.008746,0.008746,0.008746
21,5923.9,0.83749,0.58387,1.23007,0.7668,0.61374,0.68735,0.34635,1.73561,1.30165,1.99985,0.00868,0.00868,0.00868
22,6206.49,0.83235,0.57882,1.22621,0.75347,0.60254,0.6773,0.34178,1.73482,1.33017,2.00592,0.008614,0.008614,0.008614
23,6488.57,0.82587,0.5736,1.22268,0.79349,0.62062,0.71252,0.36632,1.68918,1.22159,1.93839,0.008548,0.008548,0.008548
24,6771.32,0.81626,0.55864,1.20807,0.82319,0.6292,0.72149,0.36841,1.69537,1.21286,1.95649,0.008482,0.008482,0.008482
