epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,319.735,3.16752,4.43758,3.80959,0.31742,0.08735,0.03604,0.00917,2.94241,4.4643,3.48032,0.00332176,0.00332176,0.00332176
2,640.598,2.3522,2.93341,2.8819,0.46845,0.16967,0.13546,0.04689,2.6636,4.15709,3.10349,0.00661117,0.00661117,0.00661117
3,970.943,1.92125,2.09409,2.33094,0.44085,0.18801,0.13561,0.05113,2.60729,3.83928,3.02856,0.00985658,0.00985658,0.00985658
4,1305.29,1.68332,1.65424,2.02364,0.58349,0.26078,0.25751,0.10046,2.44365,2.88127,2.86741,0.009802,0.009802,0.009802
5,1623.33,1.48773,1.35459,1.81113,0.44063,0.3565,0.35233,0.14531,2.30457,2.38745,2.6606,0.009736,0.009736,0.009736
6,1938.64,1.37868,1.1947,1.6996,0.62381,0.34001,0.39308,0.15973,2.28093,2.33073,2.70801,0.00967,0.00967,0.00967
7,2251.71,1.29435,1.08178,1.61082,0.56706,0.39473,0.39886,0.15929,2.31553,2.25115,2.66162,0.009604,0.009604,0.009604
8,2564.53,1.23841,0.99809,1.54906,0.6703,0.41808,0.46622,0.20452,2.13776,2.05431,2.49231,0.009538,0.009538,0.009538
9,2876.86,1.19896,0.94836,1.50722,0.6872,0.44893,0.48911,0.21614,2.11764,2.03771,2.42869,0.009472,0.009472,0.009472
10,3199.04,1.15765,0.90163,1.46437,0.75036,0.41974,0.48902,0.22918,2.09376,1.97667,2.35173,0.009406,0.009406,0.009406
11,3521.19,1.12105,0.85543,1.42738,0.69562,0.45337,0.50128,0.22686,2.03263,1.83928,2.27762,0.00934,0.00934,0.00934
12,3849.69,1.09618,0.82912,1.40141,0.78884,0.46035,0.53803,0.24997,2.00286,1.77477,2.25276,0.009274,0.009274,0.009274
13,4181.51,1.06972,0.80084,1.37648,0.77001,0.46592,0.52893,0.23654,2.08685,1.82308,2.35055,0.009208,0.009208,0.009208
14,4510.71,1.04741,0.77648,1.35418,0.74475,0.46329,0.54745,0.25238,1.97098,1.70195,2.21177,0.009142,0.009142,0.009142
15,4838.9,1.02293,0.75395,1.33114,0.71101,0.48917,0.56147,0.26006,1.9723,1.67374,2.16221,0.009076,0.009076,0.009076
16,5172,1.00606,0.72998,1.31506,0.65917,0.51173,0.56392,0.26423,1.93102,1.59695,2.11097,0.00901,0.00901,0.00901
17,5507.35,0.99456,0.72189,1.30417,0.72573,0.52986,0.57917,0.27655,1.89311,1.56076,2.06665,0.008944,0.008944,0.008944
18,5846.39,0.98026,0.70447,1.29259,0.78018,0.52868,0.61258,0.29349,1.91945,1.51504,2.0668,0.008878,0.008878,0.008878
19,6190.75,0.96993,0.69584,1.2826,0.78528,0.53857,0.61468,0.29663,1.8735,1.47373,2.03972,0.008812,0.008812,0.008812
20,6537.64,0.95155,0.67624,1.2699,0.82719,0.54532,0.63517,0.31138,1.86802,1.43076,1.99521,0.008746,0.008746,0.008746
21,6902.01,0.94164,0.66573,1.26077,0.80982,0.54947,0.63677,0.31736,1.84847,1.41589,1.98014,0.00868,0.00868,0.00868
22,7251.07,0.93001,0.65532,1.25239,0.81445,0.56158,0.65131,0.32212,1.84348,1.3822,1.96744,0.008614,0.008614,0.008614
23,7603.39,0.92708,0.6537,1.24976,0.78953,0.5815,0.65627,0.31985,1.84092,1.342,1.96843,0.008548,0.008548,0.008548
24,7960.83,0.91363,0.63446,1.23672,0.76309,0.5918,0.66714,0.32971,1.81676,1.32366,1.93173,0.008482,0.008482,0.008482
25,8315.4,0.9026,0.62896,1.22788,0.77723,0.62522,0.69041,0.34333,1.79257,1.26853,1.89802,0.008416,0.008416,0.008416
